,id,breed,label
9245,e827e6439b32ea68d51e894a7350c699,toy_terrier,111
2485,3df5455f16086f057418ffe837289b8d,bluetick,15
7507,bc3f7ee629b6ecbc058f6e24b823ba28,miniature_poodle,76
6224,9ce9349cf6b83af44056f47fc340372c,italian_greyhound,60
1197,1dc44c282163994a08cc05a9c082f960,west_highland_white_terrier,116
5306,85aa7704009ba5e05f4b73fc96602b7c,rhodesian_ridgeback,90
3316,5252fae4c7a34c3e3a3971b016af37d3,german_short-haired_pointer,47
6636,a6c988709c96bc166247eabb115c2d24,malinois,72
1429,23868a8b561f32c18411e35f3aa8f8b7,malinois,72
8085,ca01a96cd44e7add3961d9684332449d,great_pyrenees,52
6690,a7ede45f2bcc3b5f918cf6626da1be91,border_terrier,17
1153,1cb81d1bbaa7d0c550281979b853491c,lhasa,70
7210,b4add6ef5fb345821a5da77c4b87e745,bouvier_des_flandres,20
7258,b5d64452ea01f52960c0a7d0966fa736,leonberg,69
4657,748256d6f5781e0404b63b6e6e6a1dc7,french_bulldog,45
6707,a84b22ba806665c7cfa4a63e59ed81bf,american_staffordshire_terrier,4
4047,64ca742354bf2d730cd7100653b12bec,sussex_spaniel,107
964,17a79093473687e2cb3d0cc29c24f3e8,cardigan,27
5244,843cbc1fc239d24534859bd272c3bc16,norfolk_terrier,79
5851,93a1e38d497f452883eae18ab2b11467,brittany_spaniel,24
9367,eaea761df48d7adef74af9c66a0fbf4c,dingo,37
2184,36b6be29fc246ceb52d58ab01584773e,pomeranian,87
1483,24bfe78a765d02f011ac80c34bbdd7c3,chow,30
4631,73c968083038eee6c108a172a3fb015a,saluki,93
3837,5f13f3f69105c0e2852a061901bae0d7,english_setter,40
5003,7e69e9e20cf3b78cb6d2336df72575f7,tibetan_mastiff,108
1426,235e1ec918707fc74225de8a5bfad3fe,great_pyrenees,52
9673,f382107c98a4aa6d80a5b6a6df18e669,pekinese,85
5875,94375abe500e8a5797b25db22ec1de06,norwich_terrier,81
5839,937af3a67d2b55afb480c7c624f470d6,tibetan_mastiff,108
1057,1a42e083f36285dbc8f8f6f4d4122ecf,english_foxhound,39
5731,9083b6eabd4555704ba900d3bd163145,brabancon_griffon,22
2534,3f2ad3df5b64a29a9aabd75476f8d46d,yorkshire_terrier,119
6537,a4a278e6cbadb8c0b65d808d0ba0e3cf,gordon_setter,50
8140,cb901f7d812d25844d524bbe2f64f31f,leonberg,69
3000,4a1f37977be233024903705cc53a621b,malamute,71
6074,997673ede472a2fbb056bb4803d577e7,labrador_retriever,67
1544,263248adbf0696aca17150987c108521,schipperke,95
3015,4a82acf2c9012deceb171d16e7cafe95,toy_terrier,111
9079,e44455c6c55cd0ca746c3d992e25e672,bloodhound,14
2474,3dadf4639b5bd63795aeceeddf9a649b,basenji,7
724,11da2a7ad0326cbf4b46da32b1b82bc6,miniature_poodle,76
6759,a9883ac08095cdbd08c2a36f836ebde0,german_shepherd,46
5747,912a0d50758238e3be7ee4089f529a25,siberian_husky,101
1127,1c0eec60d22d5e50a057f261d54523d1,shih-tzu,100
5863,93ed4d236ca388844089c0ea9cc935fe,kelpie,63
5397,881d49b759a56cdf1956f0015099675d,tibetan_mastiff,108
6834,abb048471253a57c27ede4e9ff15c896,kelpie,63
3254,50d3dfc2c999a9ede891345ae14efd27,labrador_retriever,67
4264,6a5922845fe652449fbbbdb05ce5c32b,samoyed,94
3842,5f2fa3630f3c8bf8fef08dc8e8f3c818,beagle,9
7962,c71b9f1812873e44361051814cf2f3a3,irish_setter,56
1561,269a6aeefd8050aafda02044c9cd2a80,norwegian_elkhound,80
5648,8e6091bd33ecf18beaf1e2ee9f362463,australian_terrier,6
7735,c1b1a26065c28ee43c7bfdc1ec7dfdeb,siberian_husky,101
5050,7fd1307e5b7f1004b8a4f74f11678e15,clumber,31
5748,9130e19e00eb59baece5d77695016eb5,eskimo_dog,43
2913,482508d37564687d57393b42cccc8c4f,bouvier_des_flandres,20
8517,d5c9f2708cfc84beb1f5af5b74a5b92d,french_bulldog,45
4353,6c95a02700bd8c74194756cc92533a30,norwich_terrier,81
3616,59df7d7a2707fb4e77a61d507b68cb07,pembroke,86
2189,36df2789dc1b014cc00a978e72c65f4b,keeshond,62
2955,490ed36403ee275e03d8cd6766516c09,american_staffordshire_terrier,4
9202,e75f2316c5dd47b87a22bbe95cf8b8da,tibetan_mastiff,108
3032,4af4279fe2e7d81da962577848bce804,schipperke,95
8466,d482fb5576279496d6f8d72bf6b93d9f,scottish_deerhound,97
2620,40eef5868be3e4acdafa925b41686d47,standard_poodle,105
7915,c5e1c138abd4747d63e52253263904b0,rottweiler,91
1392,2242610593e258533049449d3f93e937,collie,33
3942,61e259f889548a4cfd3ffc5258de2a60,boxer,21
7420,b9cc361e5493db5effda92f09ab61f92,toy_poodle,110
2816,453e69030d1e29183f2d21ceae12d668,welsh_springer_spaniel,115
7401,b947c09bf1e90896085a59299eeb8f2f,basenji,7
3281,5172a8db62a1928c1067c36f6bf274a3,lhasa,70
17,007b8a07882822475a4ce6581e70b1f8,redbone,89
1770,2bf6537aec6ae690f9c0d88ced19ecdc,sealyham_terrier,98
1888,2e9b376c5f63e524a6127db865476acf,bloodhound,14
1642,28a0a1354d536ede54ac53bcae21535a,whippet,117
132,0325e6ba5b6afd3e0dd94c3a77b6de59,italian_greyhound,60
5092,80db322c01f6a52714078e5a30267831,great_dane,51
4922,7b72f5d09004711ea55bf3269cca5b16,lakeland_terrier,68
3319,52651a457e5f51270ba111b305869cfe,borzoi,18
8197,cceda69318da7cff1dadf98a150d567c,beagle,9
1095,1b2ad6fc60a6c5238d9e0a5863d310fa,english_foxhound,39
9623,f21952d038bd3c41c89def1a1d92385e,flat-coated_retriever,44
8866,de41f775f1b52a040d0965e0923bc983,irish_setter,56
527,0ce7dd8b119184e91088336ec6973d53,blenheim_spaniel,13
7824,c3912710a89f0e88320b8fe07578a972,airedale,3
2002,31a7e1dd52e2fdef50778e8569788d1d,papillon,84
6632,a6abba1d01ba07a581b0e1ae2e17e99e,great_pyrenees,52
168,03f2301867ca4d744773c4c06aa61d3c,borzoi,18
6177,9ba6ef3e015eb8637565361a6218c65a,ibizan_hound,55
1919,2f4a4f7881b5bcee285cd7a09fcbf0d7,saint_bernard,92
3955,6221f876c6b1ced504ae63f761a21061,kuvasz,66
5780,91e2c8d330465c87720a92984675dc4a,brittany_spaniel,24
4354,6c98cfb82ee6bf1083f3f752fd1b9c11,sussex_spaniel,107
8301,cfcab9b961c4dca7804e7159d8bd3d60,miniature_poodle,76
4149,6740ace5dc56388198108e179c8758c9,bull_mastiff,25
6947,ae4431c09466aee8c31a707b6aac0666,siberian_husky,101
8184,ccb75b5d00281575fe98f1d56d23d7a9,shih-tzu,100
1298,2036b98e51c7e6c76119ca7eead626ac,brittany_spaniel,24
8484,d5098803fe8e8ae632cc11df0ec4f399,standard_poodle,105
1352,213cdae86b93271c566b09bf7bc79e8f,kelpie,63
9035,e3104080c13200a90467f712dd2abd08,samoyed,94
7722,c148beb6d5877985701256584d104b6a,norfolk_terrier,79
1287,200c04a24faf943612206e10715301fa,keeshond,62
7191,b43971979a549110b9670bfdcd8f037a,english_springer,41
6673,a7911b0e539a90bf79a9352161a37e68,soft-coated_wheaten_terrier,103
7782,c2ae87dae29b344f92d82983d521d5d5,tibetan_mastiff,108
8849,ddde7d44c5c478092358387baee20cfb,american_staffordshire_terrier,4
2013,32087d5446dfe75c2c25bfb2110b2f09,bouvier_des_flandres,20
3387,540c37123625bae630876c20617d931b,siberian_husky,101
3428,5544cad268dab34920c63985128fa0b9,japanese_spaniel,61
4572,7255557ff8ddf8da70e1efb260830eda,italian_greyhound,60
2615,40e19b8d649cd395b0cdb27f432841bb,yorkshire_terrier,119
3274,51580a06bd63bfb54b6df8a1fab282d9,great_pyrenees,52
2147,3596f16877c795885a6ee68c5f149a58,eskimo_dog,43
4505,7077311c6c566b639eca1386a9ec84e5,schipperke,95
9803,f6ba94d33566242b8f4abdfcbd8a6bcb,norwegian_elkhound,80
4575,725e676c906e515bf159ba677346adfb,rottweiler,91
449,0aa31d6ecdb95ac7d3b7fa42b86bd91b,old_english_sheepdog,82
3790,5de5c4c802931e60e1428fc0243267eb,scottish_deerhound,97
5282,852b9c2a1af49cea2fed90f8eafbf0de,rottweiler,91
810,13feb3feb14fe8aa91f70411bc1b10e9,brittany_spaniel,24
3880,60503856d2d3ded266fe8d98fb97d8e1,curly-coated_retriever,34
6792,aa899804eafe2c221f72b6dae066a55f,old_english_sheepdog,82
9359,eab1276af0a54dfdf9d0311916ea813d,african_hunting_dog,2
5551,8c1c53f05c07eb4f67c809855bc44ac9,sealyham_terrier,98
7332,b7a84afcc388d91869ec8bf85cf0449e,yorkshire_terrier,119
6162,9b36711d6b30d9e868622cb2524cd4cf,standard_schnauzer,106
9011,e2399ad3385db144d54b63986e8247f1,west_highland_white_terrier,116
8454,d44a665b4936c6de124c864feb339f53,shih-tzu,100
1477,24a16155d423049d0c574c8e489c8b1c,bloodhound,14
1790,2c5f6c1c3acef3e307fd92378caf198c,boston_bull,19
2008,31df75e2a1d79312fd7bb51b15992c36,border_terrier,17
682,10b7de79c1ce32cb8928616b00c3686e,norwich_terrier,81
3057,4b6b945e49aa8efe691137a2c416a4cc,border_terrier,17
7433,ba26b73f1246de107a9d05840f360c01,irish_wolfhound,59
2316,39c48ed253bf29d886f69ecaf34f9e6c,silky_terrier,102
57,0162b3e0144fb1d1ab82fbff3ace9938,shih-tzu,100
6601,a5e8b55e8a408c9e63bd2986b56b9911,irish_terrier,57
9379,eb53813edf96c446e5acaa06c0deca9e,scottish_deerhound,97
8856,de14c220f31820f5c9e13ee876d95a8a,labrador_retriever,67
8071,c9bf9e02568ef44c0f8ab9e4b59bf3d4,labrador_retriever,67
46,013aed490e0e15a8989e12ae0d0ccfaa,border_terrier,17
30,00ca18751837cd6a22813f8e221f7819,affenpinscher,0
4010,63d24a9c95580f65f56f0d13ff4fe829,australian_terrier,6
10141,fdcf75632c624d8d03b37ddb1c6fc592,tibetan_mastiff,108
1468,24851d709a38011d88c59e7623bac3fd,borzoi,18
1665,2958f3aa05c668495b874ea995465060,airedale,3
1416,2307046859dc0fcd27ecaec5de284e98,standard_poodle,105
5402,8831a246cd93a78fe26304f76d5dcbdb,groenendael,54
2588,40444f6d33053ad1b7e1f78b12f749c2,french_bulldog,45
2673,42113dea257f4ac3dcd6ac4337329501,cairn,26
7567,bd990d4fc279bbfcf6bf8cc832101b39,miniature_poodle,76
9488,edccf5a23ce769b435817274226fe61f,norwegian_elkhound,80
429,0a5958a7f6836cbe349a4cedfe7178a6,basset,8
5492,8a7db9bfc4a377e316a1acb16403137b,soft-coated_wheaten_terrier,103
6950,ae588184cfac8fb06f9ba96b44b63e4d,boston_bull,19
385,094b97e52d00895fbf6769724e1b0e7d,miniature_pinscher,75
1945,2fe74a068357a3639a9d0f911864089e,staffordshire_bullterrier,104
5815,92dc766692d8771417ada42a2bb4fc5b,papillon,84
473,0b5604e1cdfcb595ceb36424126a3e09,irish_wolfhound,59
10155,fe426e0af99930c0ec3c9ab58b02f8dc,wire-haired_fox_terrier,118
5918,955fdc8f29b6b78c8888d0dfdd1c6a8d,mexican_hairless,74
6400,a16e005757d8c4f1e9bcce0050a35e41,english_setter,40
6858,ac38f7a08bd51ef93c400e5d2098db92,cairn,26
7313,b73c2a5a4f1bd70716a1da4b5e53081c,irish_setter,56
1055,1a3a594c4fef6d92c9d112a6de31def3,irish_wolfhound,59
3528,57e15a54b72f8a5ea9abff0938dcfb95,scotch_terrier,96
2995,4a07da63c52fd01ce23aa561dd88b9d5,beagle,9
2648,419a994803b6436b2ff3220b192b883d,pekinese,85
6086,99b0f0ff409732318fbf7d2cf8c8d01c,english_springer,41
811,14095922a772c94921a065006a9fa454,yorkshire_terrier,119
4779,77f1a9085d57f10fcf733e45f565b287,staffordshire_bullterrier,104
6622,a67241098d832eed2413c37dd4f42624,staffordshire_bullterrier,104
3353,533a20015e498027817bfc0e32c03bee,afghan_hound,1
4696,75e3c0f72aa5c9f54ae899e6aed8da13,welsh_springer_spaniel,115
7726,c155eec0acaeded243319bc1401bc783,border_terrier,17
111,02a8ed20109bd62bd5894f276c08c8a2,leonberg,69
9107,e4f5d391d0eab2c83493f2110a743da3,english_setter,40
1745,2b3d3ebf255bd72989161cc517e348a9,bloodhound,14
6163,9b370c5ad5420941ed36037665a2ab00,papillon,84
1452,24380b2177bb5243112b3c64008e2176,german_short-haired_pointer,47
2149,359a64c4efe3a9b90ecb399934a06439,japanese_spaniel,61
319,07b5288a0bb8b9cf1a42d281a9451e51,irish_water_spaniel,58
4341,6c4505ac9a64fa774e0f5b4fc8514546,miniature_schnauzer,77
2956,4913dfba39360e1d1489388e1a7554b8,english_foxhound,39
1922,2f7537cddd67e8464b394a765a05302d,beagle,9
9065,e3b8f3589a7286ebe017300bf780c279,rhodesian_ridgeback,90
7880,c513ff37e33e660598dee5257956ac2b,afghan_hound,1
3597,5962e49e30984d1c323fd00a0071c2bf,redbone,89
4463,6f626925348bf731ed990937a98bf8d6,appenzeller,5
7835,c3d41b0f8c76eda86e44c2dfaa654907,dandie_dinmont,35
2129,34fd564536bf36b1eb64b7861f13e3b9,dingo,37
10006,fb0c9c4e476ef5deeb432e2326c1f3da,ibizan_hound,55
2589,404a7f3fe4c6d7c77a2e1ee19e506aec,german_shepherd,46
9306,e997eaa38f75d7660fd6c488e3c76d72,tibetan_terrier,109
9132,e57ca37ac086752c46e40a90139f9b26,bull_mastiff,25
1052,1a1539a4f40e4417dd88ffee4a255175,lakeland_terrier,68
4338,6c345a9d3b928327ea2785a2f6b8190e,welsh_springer_spaniel,115
4205,68a848cd380f56ec30952f422aa43e67,siberian_husky,101
99,025bab46ddcde249d5c52c660fea6d26,boxer,21
7336,b7cae62d0e5082ed3a7c05a578303b4f,mexican_hairless,74
1456,2443cefb98478664bb7804064f39c002,japanese_spaniel,61
8034,c8d9ff63c134fdac4967815868841f55,greater_swiss_mountain_dog,53
812,1411967eaa020b15874e03167eceea62,blenheim_spaniel,13
1092,1b23140bf99ab3a7a82ddefc64dff361,bloodhound,14
4541,718255f086c13ca1bdf592b1aa3f38e4,english_setter,40
3595,595a9c2028beee39697e826fb5e44192,standard_poodle,105
8773,dbe9a2868d227a12197fb6c44b93d85a,norfolk_terrier,79
4823,78f9f919d2ab1396a4b99b9c6a3d2074,silky_terrier,102
6453,a290e911f2c3fe117944ef7e0b42cb03,french_bulldog,45
7257,b5cb07aa4fca883205dd6d9b05d0689c,american_staffordshire_terrier,4
5277,84e567b15311f0c891858f56f0175867,vizsla,112
1414,22ffe5b63e2afd0cb914079f09fdfdd7,basenji,7
540,0d4e09456d9ebfdb076e34326586f18e,brittany_spaniel,24
6085,99a553328787ec86117af34870867ca3,dandie_dinmont,35
4233,6960dd002d6479615fbfa5c70d3bbe30,pembroke,86
4007,63aa22cfbcdf6637ce75d8bfd16f4dc7,pug,88
6718,a8a60e1becc6e317f9244f60c16b9e03,malamute,71
754,12bd4b1926c160fcd73ae48215e2b12d,german_short-haired_pointer,47
6755,a9607591357d1f93bfbab4cabbe73c7c,leonberg,69
6138,9ac3aa31819e0fbc75bb8323127a2941,bedlington_terrier,10
4775,77ca2e85e0e8ea05ad424b9e53e644f1,afghan_hound,1
9731,f5091fcbb9e639158ad406a3d793ff62,great_dane,51
9323,ea0d557dd0acd9191f45e703d18be9b3,italian_greyhound,60
9929,f988f65f2b26404fa16698ed835ac08a,whippet,117
5837,936dad2f17cd6e7a47bc4a25ec0e0bb7,italian_greyhound,60
5406,88664fc7a27b5828860ef5bae18b5309,italian_greyhound,60
3026,4ad60192d6b880ac4eee7f23d7c26b96,miniature_poodle,76
2458,3d4c13366837f64c6382dd4f1778caa0,entlebucher,42
8667,d971e8cc02852ea0576cf9ecb295c782,siberian_husky,101
10069,fc518958bdeda396c5431d8a8ec319df,basset,8
6885,acf27cad5544fbed6baa345666f87700,affenpinscher,0
4593,72c99ca86c7f12d597a97777e28c5bc2,appenzeller,5
5641,8e36fbb03c79117c3c7ff2962d255c91,mexican_hairless,74
601,0eb00c6fc429ecc2cf8745a6334594ad,standard_poodle,105
2689,425f6665a1616c4819d20580d09d5e8b,miniature_pinscher,75
9117,e5271262c8e4fd79dff994f9ed711dfc,german_short-haired_pointer,47
8255,ce8aafb174173caa826cf76e0469d56f,saint_bernard,92
6004,9777f569b6116476eeade6c12a234d8e,scottish_deerhound,97
4132,66eacf3655c96e50d637489f47f09215,staffordshire_bullterrier,104
6443,a26037c6c5c90dbc2cf50d641e366e19,old_english_sheepdog,82
1044,19fd98408baa882087628bdf39d9d98c,malamute,71
7662,bfe8e8b7d66e75c0af82b6e0d136a7a5,collie,33
1557,26914931b40a466c795993e6abd78673,cocker_spaniel,32
9806,f6c308322ba8e80c9ad20f9b292a8c4c,english_springer,41
3834,5f0d651fc73680277fde0ca0138681a8,brabancon_griffon,22
180,0434ddceef3eea9c757c8e9557a2d698,english_setter,40
8462,d47fb5b7a8097959d87cffa7affad58c,german_shepherd,46
2115,34b1a312ff8f82f428e89250e3819be3,flat-coated_retriever,44
1699,2a325864fcc3e8672071f91d08c22467,bouvier_des_flandres,20
1379,21e6981e660e8d7674cd820809505a16,whippet,117
6194,9c10668d7a4038549c8349f9037bf33d,pekinese,85
7553,bd66845e2afbc4fa641eb5fde30aa294,welsh_springer_spaniel,115
6319,9f784b4b261cfb7b398126e2077a997b,pembroke,86
618,0f23ce5c1129ad70c079d262448d9fac,welsh_springer_spaniel,115
2826,458e3d94b7a0e21c8da7796139f065d0,japanese_spaniel,61
10070,fc58ff2eb1f57943e151704a4f061d38,labrador_retriever,67
1600,2783d9ce4fef1ed1274d089be06d3d3b,collie,33
9478,eda44fc4fded6ff594aeb833634ea44c,scottish_deerhound,97
1615,27fdff7f05bfa707dccde0c6662c3f7e,papillon,84
6192,9c03345af7afb548c2d3fa17116eb825,pembroke,86
438,0a783538d5f3aaf017b435ddf14cc5c2,french_bulldog,45
8726,daf1dde58cb4cb4d55bf4e4874e76153,shetland_sheepdog,99
2083,33f05bab649dca0c65d9d7abca8656bb,vizsla,112
9886,f8972355cef9e75502f9a79a26ba9798,english_springer,41
4957,7cbde2616a11273a406b99a55d18745e,black-and-tan_coonhound,12
5361,87028ba151a48e01ea87c063e420798b,scottish_deerhound,97
8241,ce293768d21d78ee39f43642af69a674,leonberg,69
5133,819940dffd7ba189b45a4aa8e06d728a,schipperke,95
8494,d5470b760dc855b84add98748e03bd77,boston_bull,19
5615,8dc0b8413494816aff0d87e9f64ae4fc,staffordshire_bullterrier,104
5235,840db91ba4600148f3dcb06ec419b421,pomeranian,87
8515,d5bfebf92804b7fc76ad6d7190d2be2e,shetland_sheepdog,99
1918,2f4951f25cdab229db36b7a2bd0487e9,english_springer,41
8511,d5ac49bf70fd512c9a38270fbe768177,afghan_hound,1
7711,c0f1af3542270b1e4f1be3403d17ec35,dandie_dinmont,35
5636,8e1863bda935ce99536f77a786e414f8,pekinese,85
10161,fe624532170510bd80627c0500bafc97,tibetan_mastiff,108
6630,a69d3f94caab2e0854a7bc80fe7f2a90,cairn,26
2054,3322c459d355e77e659cdee729c33aa4,kerry_blue_terrier,64
8509,d5a99328bc26378c55e4bf77fcaea3b1,lhasa,70
9416,ec3180f25c4860682350127a1a0c3c4a,collie,33
2362,3ae7559ae8f1afcf304224497228ce8a,appenzeller,5
2225,37b9633e115cca01282b85db6f9ea20c,doberman,38
9016,e267360efadbd9da278fde791fc03f20,irish_setter,56
1126,1c0e69013f7ff196a1abed88a7e65b5f,gordon_setter,50
6961,ae9eb83de4161c01bb3e1fa53fad719f,old_english_sheepdog,82
8492,d535bf3a2946268c98b27fe05ed7f2ed,staffordshire_bullterrier,104
4052,64dd586a1d08937d20618233df2e5dbc,lhasa,70
7106,b24cc2975f49a209ebc40c94ef88cb42,komondor,65
1322,20b9d84a4255af601e26e11eb9f9855a,walker_hound,113
1603,278efbcb4eb5c6a22cfa1031cce6136a,weimaraner,114
6691,a7f36feff3c6fc2406d316f75381c491,toy_poodle,110
7755,c226fabe1302bfeff9898aa02a6d7623,entlebucher,42
8193,ccd99c16e1a964e86dc5ee5ba5b2854f,schipperke,95
5876,94407c29657a0c84ce6c7176999b63b0,cairn,26
4608,733770b0be38edc0764480260a5a408c,english_foxhound,39
5231,83fbbcc9a612e3f712b1ba199da61f20,sussex_spaniel,107
8327,d09d661f984be8af06debd9ad7e4ec6c,briard,23
9550,ef761ccf005b7bb9bd6a094df7e07df5,norwegian_elkhound,80
9194,e716ae8410966853094bd28b0829feff,african_hunting_dog,2
4003,6369e971e2913e63c674ad94393aedda,vizsla,112
1559,2695c92b1303ab96f329c3790db5edb0,kelpie,63
9930,f9900b44f49e5075c5b3fb589d1aae4b,pembroke,86
7894,c58a5e34509845ddf019edd6d896c6b1,flat-coated_retriever,44
4098,65f50586d1b8ed7e6ab3c11c23bfb246,italian_greyhound,60
2758,43ddb2c0c2afe67a01f5c3705df34f71,rhodesian_ridgeback,90
10051,fbf881c1bd9b236af37efdfeb4a1fb51,rhodesian_ridgeback,90
8564,d700f7428d738a40cff8266b4810e494,shetland_sheepdog,99
1354,2154516e54dc02add050a8a885207d29,sussex_spaniel,107
45,012ff2d21dad14452ea16b4cda7eef4c,toy_poodle,110
3027,4ae0622f7637ed62d3276bdc3bb267fa,wire-haired_fox_terrier,118
748,12a96a9c366b60dcc62fec29006780a3,clumber,31
5065,80530662979f925e5854d840ac73418b,saint_bernard,92
6408,a198dfcff6e7b12eb4427dbdfe74349e,sealyham_terrier,98
5743,9115dfce9d3cffa5e2c7866c0d4bc176,brittany_spaniel,24
4868,7a0cfd6eb2495b5b25d6efed110b737c,mexican_hairless,74
3088,4c37cf1f1efbd31a074dc5ac71b5570e,dandie_dinmont,35
8685,d9f80faa882c53ef381fbbb1ebbf5a3a,sealyham_terrier,98
5419,88bdef57f5f510afd04e1452c4495e4a,redbone,89
5807,92b1992357ae55d1e0a1b5e1fb13764e,japanese_spaniel,61
2251,383a9cc4522b7776d520fc30d4fdbaa4,siberian_husky,101
3299,51ef1373e9b45f69fecb67bbc1d4406b,english_springer,41
5321,85ef8ce1e2e798ad6ce5289c42b9055b,clumber,31
7237,b54cef53d681db71d03a4e4230acefc8,german_short-haired_pointer,47
5246,84421c01900b34e3e1ba42f2424fbd33,bouvier_des_flandres,20
3785,5dd52f2dfbdc63ba4813e77355898cdb,ibizan_hound,55
5095,80ec00fdfec7ab916f8ccd769f788bcf,keeshond,62
9963,fa289147f856e2525ee70529a6d0ac52,rhodesian_ridgeback,90
4877,7a4cc5606cf632ad77a2285186352aac,samoyed,94
4147,6727cd17680b105d9b305ec843e945b8,maltese_dog,73
9853,f7df3e61cec435ef6066e9d18b5c17b1,wire-haired_fox_terrier,118
9794,f67c86c7429bfe3a576c2468d243b29f,siberian_husky,101
664,102fe645c59f482cbc771c01cfff3ff9,pembroke,86
7708,c0e6e8660b28cd6f91bee7e75f63cde1,scottish_deerhound,97
3777,5dbe2651396ccc76532a97e5f20a872b,basenji,7
4004,636aa6a1709f0a15664ce15d0fb70128,shih-tzu,100
9814,f6f603600c231d6dd529c54e45a7b2c5,basenji,7
6013,97c863ca10051ae4822b13264c40589e,miniature_poodle,76
675,10730dfd280bb4b2723dc677378f2ff1,boston_bull,19
3064,4b7fca7decc6f79aeffe9e2c85409616,redbone,89
3107,4cbb3c10f0eadb99e6333009af1ec53d,doberman,38
8938,e06773bd0666b3b9597b93a54e302c55,basset,8
